Y1,Y2,Y3,Y4,Y5,Y6,Y7
0,0,0,0,,0,0,0,0,,0,,,0,,,0,0,0,0,,1,1,1,1,1,1,0
0,0,0,0,,0,0,0,1,,1,,,,,,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,,0,0,0,1,,0,,,1,,,0,0,0,1,,0,1,1,0,0,0,0
0,0,0,1,,0,0,1,0,,1,,,,,,0,0,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,,0,0,1,0,,0,,,2,,,0,0,1,0,,1,1,0,1,1,0,1
0,0,1,0,,0,0,1,1,,1,,,,,,0,0,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,1,,0,0,1,1,,0,,,3,,,0,0,1,1,,1,1,1,1,0,0,1
0,0,1,1,,0,1,0,0,,1,,,,,,0,1,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,,0,1,0,0,,0,,,4,,,0,1,0,0,,0,1,1,0,0,1,1
0,1,0,0,,0,1,0,1,,1,,,,,,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,,0,1,0,1,,0,,,5,,,0,1,0,1,,1,0,1,1,0,1,1
0,1,0,1,,0,1,1,0,,1,,,,,,0,1,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,0,,0,1,1,0,,0,,,6,,,0,1,1,0,,1,0,1,1,1,1,1
0,1,1,0,,0,1,1,1,,1,,,,,,0,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,,0,1,1,1,,0,,,7,,,0,1,1,1,,1,1,1,0,0,0,0
0,1,1,1,,1,0,0,0,,1,,,,,,1,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,,1,0,0,0,,0,,,8,,,1,0,0,0,,1,1,1,1,1,1,1
1,0,0,0,,1,0,0,1,,1,,,,,,1,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1,,1,0,0,1,,0,,,9,,,1,0,0,1,,1,1,1,1,0,1,1
1,0,0,1,,1,0,1,0,,1,,,,,,1,0,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,,1,0,1,0,,0,,,10,,,1,0,1,0,,0,0,0,1,0,0,0
1,0,1,0,,1,0,1,1,,1,,,,,,1,0,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,,1,0,1,1,,0,,,11,,,1,0,1,1,,1,1,0,0,0,0,0
1,0,1,1,,1,1,0,0,,1,,,,,,1,1,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,,1,1,0,0,,0,,,12,,,1,1,0,0,,1,1,1,0,0,1,0
1,1,0,0,,1,1,0,1,,1,,,,,,1,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,1,,1,1,0,1,,0,,,13,,,1,1,0,1,,1,0,0,0,0,1,0
1,1,0,1,,1,1,1,0,,1,,,,,,1,1,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,,1,1,1,0,,0,,,14,,,1,1,1,0,,0,1,1,0,0,0,0
1,1,1,0,,1,1,1,1,,1,,,,,,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,1,1,1,1,,0,,,15,,,1,1,1,1,,0,1,1,1,0,0,0
1,1,1,1,,0,0,0,0,,1,,,,,,0,0,0,0,,,,,,,,
